country,year,grade_8_math_score,continent
Algeria,2007,387,Africa
Armenia,2003,478,Europe
Armenia,2007,499,Europe
Australia,1995,509,Oceania
Australia,2003,505,Oceania
Australia,2007,496,Oceania
Bahrain,2003,401,Asia
Bahrain,2007,398,Asia
Bosnia and Herzegovina,2007,456,Europe
Botswana,2003,366,Africa
Botswana,2007,364,Africa
Bulgaria,1995,527,Europe
Bulgaria,1999,511,Europe
Bulgaria,2003,476,Europe
Bulgaria,2007,464,Europe
Canada,1995,524,North America
Canada,1999,537,North America
Canada,2003,530,North America
Canada,2007,522,North America
Colombia,1995,332,South America
Colombia,2007,380,South America
Cyprus,1995,468,Europe
Cyprus,1999,476,Europe
Cyprus,2003,459,Europe
Cyprus,2007,465,Europe
Czech Republic,1995,546,Europe
Czech Republic,1999,520,Europe
Czech Republic,2007,504,Europe
Egypt,2003,406,Africa
Egypt,2007,391,Africa
El Salvador,2007,340,North America
Georgia,2007,410,Europe
Ghana,2003,276,Africa
Ghana,2007,309,Africa
Hungary,1995,527,Europe
Hungary,1999,532,Europe
Hungary,2003,529,Europe
Hungary,2007,517,Europe
Indonesia,1999,403,Asia
Indonesia,2003,411,Asia
Indonesia,2007,405,Asia
Iran,1995,418,Asia
Iran,1999,422,Asia
Iran,2003,411,Asia
Iran,2007,403,Asia
Israel,1999,466,Asia
Israel,2003,496,Asia
Israel,2007,463,Asia
Italy,1999,479,Europe
Italy,2003,484,Europe
Italy,2007,480,Europe
Japan,1995,581,Asia
Japan,1999,579,Asia
Japan,2003,570,Asia
Japan,2007,570,Asia
Jordan,1999,428,Asia
Jordan,2003,424,Asia
Jordan,2007,427,Asia
Kuwait,2007,354,Asia
Lebanon,2003,433,Asia
Lebanon,2007,449,Asia
Lithuania,1995,472,Europe
Lithuania,1999,482,Europe
Lithuania,2003,502,Europe
Lithuania,2007,506,Europe
Malaysia,1999,519,Asia
Malaysia,2003,508,Asia
Malaysia,2007,474,Asia
Norway,1995,498,Europe
Norway,2003,461,Europe
Norway,2007,469,Europe
Oman,2007,372,Asia
Qatar,2007,307,Asia
Romania,1995,474,Europe
Romania,1999,472,Europe
Romania,2003,475,Europe
Romania,2007,461,Europe
Russia,1995,524,Asia
Russia,1999,526,Asia
Russia,2003,508,Asia
Russia,2007,512,Asia
Saudi Arabia,2007,329,Asia
Serbia,2003,477,Europe
Serbia,2007,486,Europe
Singapore,1995,609,Asia
Singapore,1999,604,Asia
Singapore,2003,605,Asia
Singapore,2007,593,Asia
Slovenia,1995,494,Europe
Slovenia,2003,493,Europe
Slovenia,2007,501,Europe
South Korea,1995,581,Asia
South Korea,1999,587,Asia
South Korea,2003,589,Asia
South Korea,2007,597,Asia
Sweden,1995,540,Europe
Sweden,2003,499,Europe
Sweden,2007,491,Europe
Syria,2007,395,Asia
Thailand,1999,467,Asia
Thailand,2007,441,Asia
Tunisia,1999,448,Africa
Tunisia,2003,410,Africa
Tunisia,2007,420,Africa
Turkey,2007,432,Asia
Ukraine,2007,462,Europe
United Kingdom,1995,498,Europe
United Kingdom,1999,496,Europe
United Kingdom,2003,498,Europe
United Kingdom,2007,511,Europe
United States,1995,492,North America
United States,1999,502,North America
United States,2003,504,North America
United States,2007,508,North America
